,"(0.1, 0.9)","(0.3, 0.7)","(0.4, 0.5)","(0.2, 0.7)","(0.4, 0.9)"
"(0.1,0.2)","(0.002,0.002)","(0.001,0.002)","(0.001,0.002)","(0.001,0.002)","(0.001,0.002)"
"(0.1,0.3)","(0.002,0.007)","(0.002,0.008)","(0.002,0.008)","(0.002,0.008)","(0.002,0.008)"
"(0.1,0.4)","(0.001,0.004)","(0.001,0.004)","(0.001,0.004)","(0.001,0.004)","(0.001,0.004)"
"(0.1,0.5)","(0.001,0.004)","(0.001,0.004)","(0.001,0.004)","(0.001,0.004)","(0.001,0.004)"
"(0.1,0.6)","(0.001,0.018)","(0.001,0.018)","(0.001,0.018)","(0.001,0.018)","(0.001,0.018)"
"(0.1,0.7)","(0.0,0.01)","(0.0,0.01)","(0.0,0.01)","(0.0,0.01)","(0.0,0.01)"
"(0.1,0.8)","(0.002,0.034)","(0.002,0.034)","(0.002,0.034)","(0.002,0.034)","(0.002,0.034)"
"(0.1,0.9)","(0.002,0.019)","(0.002,0.018)","(0.002,0.018)","(0.002,0.018)","(0.002,0.018)"
"(0.2,0.3)","(0.007,0.009)","(0.005,0.008)","(0.003,0.005)","(0.007,0.009)","(0.003,0.005)"
"(0.2,0.4)","(0.004,0.003)","(0.002,0.005)","(0.002,0.005)","(0.004,0.003)","(0.002,0.005)"
"(0.2,0.5)","(0.0,0.005)","(0.002,0.004)","(0.002,0.004)","(0.0,0.006)","(0.002,0.004)"
"(0.2,0.6)","(0.003,0.012)","(0.005,0.011)","(0.005,0.011)","(0.004,0.012)","(0.005,0.011)"
"(0.2,0.7)","(0.001,0.002)","(0.002,0.002)","(0.002,0.002)","(0.001,0.002)","(0.002,0.001)"
"(0.2,0.8)","(0.004,0.026)","(0.003,0.026)","(0.003,0.026)","(0.003,0.026)","(0.003,0.026)"
"(0.2,0.9)","(0.004,0.013)","(0.003,0.013)","(0.003,0.013)","(0.003,0.013)","(0.003,0.013)"
"(0.3,0.4)","(0.004,0.005)","(0.004,0.005)","(0.023,0.014)","(0.004,0.005)","(0.004,0.005)"
"(0.3,0.5)","(0.011,0.014)","(0.011,0.014)","(0.024,0.027)","(0.011,0.014)","(0.011,0.014)"
"(0.3,0.6)","(0.004,0.006)","(0.004,0.006)","(0.001,0.002)","(0.004,0.006)","(0.001,0.001)"
"(0.3,0.7)","(0.012,0.011)","(0.012,0.011)","(0.017,0.016)","(0.012,0.011)","(0.017,0.016)"
"(0.3,0.8)","(0.003,0.005)","(0.007,0.008)","(0.007,0.009)","(0.003,0.005)","(0.007,0.009)"
"(0.3,0.9)","(0.002,0.013)","(0.006,0.016)","(0.006,0.016)","(0.002,0.013)","(0.006,0.015)"
"(0.4,0.5)","(0.027,0.024)","(0.027,0.024)","(0.002,0.0)","(0.027,0.024)","(0.026,0.024)"
"(0.4,0.6)","(0.016,0.03)","(0.015,0.029)","(0.033,0.047)","(0.016,0.03)","(0.015,0.03)"
"(0.4,0.7)","(0.019,0.012)","(0.019,0.011)","(0.007,0.0)","(0.018,0.01)","(0.018,0.011)"
"(0.4,0.8)","(0.012,0.014)","(0.012,0.013)","(0.003,0.004)","(0.012,0.014)","(0.012,0.013)"
"(0.4,0.9)","(0.004,0.005)","(0.003,0.005)","(0.004,0.002)","(0.004,0.005)","(0.0,0.002)"
"(0.5,0.6)","(0.044,0.071)","(0.045,0.072)","(0.016,0.043)","(0.044,0.071)","(0.045,0.072)"
"(0.5,0.7)","(0.043,0.039)","(0.043,0.039)","(0.015,0.01)","(0.044,0.039)","(0.043,0.039)"
"(0.5,0.8)","(0.024,0.014)","(0.024,0.014)","(0.0,0.01)","(0.025,0.014)","(0.024,0.014)"
"(0.5,0.9)","(0.018,0.038)","(0.017,0.037)","(0.001,0.022)","(0.017,0.037)","(0.018,0.038)"
"(0.6,0.7)","(0.038,0.036)","(0.037,0.034)","(0.038,0.035)","(0.039,0.036)","(0.038,0.036)"
"(0.6,0.8)","(0.053,0.038)","(0.054,0.039)","(0.026,0.011)","(0.053,0.039)","(0.052,0.037)"
"(0.6,0.9)","(0.017,0.039)","(0.018,0.041)","(0.015,0.008)","(0.018,0.04)","(0.017,0.039)"
"(0.7,0.8)","(0.064,0.071)","(0.063,0.07)","(0.063,0.07)","(0.062,0.069)","(0.062,0.069)"
"(0.7,0.9)","(0.037,0.021)","(0.04,0.023)","(0.037,0.021)","(0.038,0.022)","(0.038,0.022)"
"(0.8,0.9)","(0.092,0.091)","(0.092,0.091)","(0.091,0.09)","(0.094,0.093)","(0.091,0.09)"
